Statistical profiling result from bloq.log, (6788 ticks, 12 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  t __ZN2v88internal6String7FlattenEPNS0_7IsolateENS0_6HandleIS1_EENS0_14AllocationTypeE
      2    0.0%    0.0%  t __ZN2v88internal22HandleScopeImplementer12EnterContextENS0_7ContextE
      2    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_124ProbeInstantiationsCacheEPNS0_7IsolateENS0_6HandleINS0_13NativeContextEEEiNS1_11CachingModeE
      2    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_117InstantiateObjectEPNS0_7IsolateENS0_6HandleINS0_18ObjectTemplateInfoEEENS4_INS0_10JSReceiverEEEb
      2    0.0%    0.0%  t (anonymous namespace)::fallback_free(void*)
      2    0.0%    0.0%  T node::ParseEncoding(char const*, node::encoding)
      2    0.0%    0.0%  T node::LibuvStreamWrap::OnUvRead(long, uv_buf_t const*)
      2    0.0%    0.0%  T node::InternalMakeCallback(node::Environment*, v8::Local<v8::Object>, v8::Local<v8::Object>, v8::Local<v8::Function>, int, v8::Local<v8::Value>*, node::async_context)
      2    0.0%    0.0%  T _semaphore_create
      2    0.0%    0.0%  T _realloc
      2    0.0%    0.0%  T _os_packet_set_transport_traffic_realtime
      2    0.0%    0.0%  T _malloc_zone_malloc
      2    0.0%    0.0%  T _malloc
      2    0.0%    0.0%  T _mach_msg_destroy
      2    0.0%    0.0%  T ___ulock_wait
      2    0.0%    0.0%  T ___thread_selfid
      2    0.0%    0.0%  T __ZNK2v85Value8ToStringENS_5LocalINS_7ContextEEE
      2    0.0%    0.0%  T __ZN2v88internal25FunctionCallbackArgumentsC1EPNS0_7IsolateENS0_6ObjectENS0_10HeapObjectES4_S5_Pmi
      2    0.0%    0.0%  T __ZN2v87Isolate9InContextEv
      2    0.0%    0.0%  T __ZN2v820EscapableHandleScopeC2EPNS_7IsolateE
      1    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t unsigned long std::__1::__hash_table<node::CleanupHookCallback, node::CleanupHookCallback::Hash, node::CleanupHookCallback::Equal, std::__1::allocator<node::CleanupHookCallback> >::__erase_unique<node::CleanupHookCallback>(node::CleanupHookCallback const&)
      1    0.0%    0.0%  t std::__1::istreambuf_iterator<wchar_t, std::__1::char_traits<wchar_t> > std::__1::num_get<wchar_t, std::__1::istreambuf_iterator<wchar_t, std::__1::char_traits<wchar_t> > >::__do_get_floating_point<float>(std::__1::istreambuf_iterator<wchar_t, std::__1::char_traits<wchar_t> >, std::__1::istreambuf_iterator<wchar_t, std::__1::char_traits<wchar_t> >, std::__1::ios_base&, unsigned int&, float&) const
      1    0.0%    0.0%  t std::__1::basic_istream<wchar_t, std::__1::char_traits<wchar_t> >& std::__1::__input_arithmetic<long long, wchar_t, std::__1::char_traits<wchar_t> >(std::__1::basic_istream<wchar_t, std::__1::char_traits<wchar_t> >&, long long&)
      1    0.0%    0.0%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::Environment::ToggleImmediateRef(bool)::$_7::__invoke(uv_idle_s*)
      1    0.0%    0.0%  t node::EnvGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::(anonymous namespace)::Parser::Proxy<int (node::(anonymous namespace)::Parser::*)(), &(node::(anonymous namespace)::Parser::on_message_begin())>::Raw(llhttp__internal_s*)
      1    0.0%    0.0%  t node::(anonymous namespace)::Parser::OnStreamRead(long, uv_buf_t const&)
      1    0.0%    0.0%  t node::(anonymous namespace)::IsAnyArrayBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::(anonymous namespace)::GetLibuvNow(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t dyld3::Loader::mapAndFixupAllImages(Diagnostics&, bool, bool)
      1    0.0%    0.0%  t _nanov2_pointer_size
      1    0.0%    0.0%  t _moreglue
      1    0.0%    0.0%  t _default_zone_malloc
      1    0.0%    0.0%  t _default_zone_free_definite_size
      1    0.0%    0.0%  t __pthread_wqthread_setup
      1    0.0%    0.0%  t __platform_memmove$VARIANT$Haswell
      1    0.0%    0.0%  t __os_once_gate_broadcast
      1    0.0%    0.0%  t __cxxabiv1::__shim_type_info::~__shim_type_info()
      1    0.0%    0.0%  t __cxxabiv1::__array_type_info::~__array_type_info()
      1    0.0%    0.0%  t ___vfwscanf
      1    0.0%    0.0%  t __ZN2v88internal7JSArray10SetContentENS0_6HandleIS1_EENS2_INS0_14FixedArrayBaseEEE
      1    0.0%    0.0%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb1EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      1    0.0%    0.0%  T std::__1::locale::classic()
      1    0.0%    0.0%  T std::__1::basic_istream<wchar_t, std::__1::char_traits<wchar_t> >::get(std::__1::basic_streambuf<wchar_t, std::__1::char_traits<wchar_t> >&, wchar_t)
      1    0.0%    0.0%  T std::__1::__next_prime(unsigned long)
      1    0.0%    0.0%  T non-virtual thunk to node::LibuvStreamWrap::IsAlive()
      1    0.0%    0.0%  T node::tracing::TraceEventHelper::GetTracingController()
      1    0.0%    0.0%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::TCPWrap::Bind6(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::NodeArrayBufferAllocator::Free(void*, unsigned long)
      1    0.0%    0.0%  T node::InternalCallbackScope::Close()
      1    0.0%    0.0%  T node::AsyncWrap::EmitTraceEventAfter(node::AsyncWrap::ProviderType, double)
      1    0.0%    0.0%  T node::AsyncWrap::EmitBefore(node::Environment*, double)
      1    0.0%    0.0%  T _pthread_cond_destroy
      1    0.0%    0.0%  T _proc_set_cpumon_params
      1    0.0%    0.0%  T _malloc_zone_from_ptr
      1    0.0%    0.0%  T _inet_net_pton
      1    0.0%    0.0%  T _dxprintf_exec
      1    0.0%    0.0%  T ___sfp
      1    0.0%    0.0%  T ___sflags
      1    0.0%    0.0%  T __ZNK4node6crypto10ByteSource3getEv
      1    0.0%    0.0%  T __ZNK2v86String12WriteOneByteEPNS_7IsolateEPhiii
      1    0.0%    0.0%  T __ZNK2v86String10Utf8LengthEPNS_7IsolateE
      1    0.0%    0.0%  T __ZNK2v85Array6LengthEv
      1    0.0%    0.0%  T __ZN4node6crypto4Hmac10HmacUpdateERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  T __ZN4node27DTRACE_HTTP_SERVER_RESPONSEERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node26DTRACE_HTTP_SERVER_REQUESTERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN2v88internal25PropertyCallbackArgumentsC1EPNS0_7IsolateENS0_6ObjectES4_NS0_8JSObjectENS_5MaybeINS0_11ShouldThrowEEE
      1    0.0%    0.0%  T __ZN2v88TryCatchD2Ev
      1    0.0%    0.0%  T __ZN2v87Isolate16ClearKeptObjectsEv
      1    0.0%    0.0%  T __ZN2v87Context29GetNumberOfEmbedderDataFieldsEv
      1    0.0%    0.0%  T __ZN2v87Context17GetMicrotaskQueueEv
      1    0.0%    0.0%  T __ZN2v86String14NewFromOneByteEPNS_7IsolateEPKhNS_13NewStringTypeEi
      1    0.0%    0.0%  T __ZN2v86Object3SetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEES5_
      1    0.0%    0.0%  T __ZN2v85Array3NewEPNS_7IsolateEPNS_5LocalINS_5ValueEEEm
      1    0.0%    0.0%  T __ZN2v815ArrayBufferView6BufferEv
      1    0.0%    0.0%  T __ZN2v811HandleScopeD1Ev

 [Summary]:
   ticks  total  nonlib   name
    156    2.3%    2.3%  JavaScript
   6587   97.0%   97.5%  C++
     84    1.2%    1.2%  GC
     33    0.5%          Shared libraries
     12    0.2%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   3089   92.4%   45.5%  T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
    115    3.4%    1.7%  T _semaphore_wait
     98    2.9%    1.4%  T _task_restartable_ranges_synchronize
      4    0.1%    0.1%  t _tiny_malloc_should_clear
      4    0.1%    0.1%  T _kdebug_typefilter
      2    0.1%    0.0%  t node::task_queue::RunMicrotasks(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.0%  t _small_malloc_should_clear
      2    0.1%    0.0%  t _free_small
      2    0.1%    0.0%  T void node::StreamBase::JSMethod<&(node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.0%  T node::ParseEncoding(char const*, node::encoding)
      2    0.1%    0.0%  T __ZNK2v85Value8ToStringENS_5LocalINS_7ContextEEE
      2    0.1%    0.0%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEEj
      2    0.1%    0.0%  T __ZN2v820EscapableHandleScopeC2EPNS_7IsolateE
      1    0.0%    0.0%  t _tiny_malloc_from_free_list
      1    0.0%    0.0%  t _szone_realloc
      1    0.0%    0.0%  t _small_malloc_from_free_list
      1    0.0%    0.0%  t _nanov2_malloc
      1    0.0%    0.0%  t _nanov2_find_block_and_allocate
      1    0.0%    0.0%  t _free_tiny
      1    0.0%    0.0%  t __os_nospin_lock_lock_slow
      1    0.0%    0.0%  T non-virtual thunk to node::LibuvStreamWrap::IsAlive()
      1    0.0%    0.0%  T node::tracing::TraceEventHelper::GetTracingController()
      1    0.0%    0.0%  T node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::NodeArrayBufferAllocator::Free(void*, unsigned long)
      1    0.0%    0.0%  T _vm_copy
      1    0.0%    0.0%  T __ZNK4node6crypto10ByteSource3getEv
      1    0.0%    0.0%  T __ZNK2v86String12WriteOneByteEPNS_7IsolateEPhiii
      1    0.0%    0.0%  T __ZNK2v86String10Utf8LengthEPNS_7IsolateE
      1    0.0%    0.0%  T __ZN2v815ArrayBufferView6BufferEv

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   2793   41.1%  T __kernelrpc_thread_policy_set

   2661   39.2%  T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
   1080   40.6%    T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
     77    7.1%      T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
     12   15.6%        LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/dateformat/lib/dateformat.js:1:696
     12  100.0%          LazyCompile: ~formatTime /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/lib/utils.js:60:21
      7   58.3%            LazyCompile: *pretty /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/index.js:65:19
      5   41.7%            LazyCompile: ~prettifyTime /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/lib/utils.js:430:23
     12   15.6%        LazyCompile: *header /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:754:29
     12  100.0%          LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
     12  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app-bloq.js:59:17
     11   14.3%        LazyCompile: *<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/dateformat/lib/dateformat.js:1:696
     11  100.0%          LazyCompile: ~formatTime /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/lib/utils.js:60:21
     11  100.0%            LazyCompile: *pretty /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/index.js:65:19
      6    7.8%        LazyCompile: ~header /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:754:29
      5   83.3%          LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      5  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app-bloq.js:59:17
      1   16.7%          LazyCompile: ~send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      1  100.0%            LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
